source 	 target
828	992
828	239
828	136
828	737
828	486
828	86
828	114
828	169
412	591
412	707
412	186
412	650
412	87
525	693
525	678
525	87
525	105
645	442
645	716
645	517
645	150
645	87
704	574
704	445
704	277
704	671
704	685
704	87
704	280
292	806
292	710
292	452
292	88
572	949
572	88
218	374
218	740
218	631
218	649
218	712
218	89
218	142
231	673
231	226
231	89
231	222
232	888
232	296
232	778
232	89
700	515
700	89
700	483
210	286
210	402
210	417
210	90
214	744
214	456
214	990
214	879
214	532
214	91
664	990
664	261
664	373
664	484
664	970
664	623
664	610
664	91
664	128
664	134
858	428
858	386
858	869
858	450
858	958
858	91
858	189
858	203
914	642
914	555
914	599
914	91
251	171
251	92
251	101
360	195
360	479
360	491
360	340
360	969
360	158
360	802
360	93
360	219
772	516
772	361
772	93
772	106
774	93
112	94
112	894
112	885
112	692
233	806
233	176
233	310
233	94
233	188
243	301
243	268
243	305
243	785
243	94
243	99
271	551
271	457
271	331
271	94
271	925
271	295
271	460
271	160
317	593
317	573
317	94
317	175
538	695
538	571
538	586
538	747
538	94
538	404
593	710
593	370
593	487
593	94
593	362
593	220
593	141
787	439
787	564
787	94
787	765
787	874
985	170
985	94
985	438
544	513
544	556
544	95
696	877
696	95
909	500
909	283
909	843
909	95
981	491
981	833
981	505
981	349
981	95
104	147
104	286
104	770
104	797
104	888
104	992
104	765
104	361
104	96
379	364
379	601
379	241
379	891
379	186
379	172
379	97
424	641
424	344
424	939
424	97
424	198
424	354
761	392
761	827
761	327
761	97
761	198
492	947
492	495
492	242
492	378
492	778
492	98
492	603
492	718
589	159
589	367
589	98
589	576
200	304
200	727
200	648
200	99
942	403
942	373
942	437
942	256
942	383
942	100
942	110
154	436
154	481
154	654
154	997
154	101
159	448
159	533
159	101
411	770
411	797
411	744
411	396
411	677
411	714
411	983
411	558
411	651
411	451
411	101
411	201
475	776
475	613
475	667
475	343
475	879
475	979
475	101
500	673
500	710
500	873
500	101
500	106
640	147
640	806
640	533
640	539
640	970
640	425
640	101
853	562
853	883
853	752
853	625
853	372
853	101
853	105
932	135
932	686
932	997
932	520
932	536
932	151
932	101
325	305
325	789
325	102
915	881
915	691
915	644
915	796
915	785
915	102
579	504
579	103
579	294
786	580
786	451
786	635
786	103
147	864
147	494
286	831
770	916
770	291
770	144
770	254
770	635
797	756
797	730
797	296
797	720
797	976
797	332
797	623
888	874
888	264
992	320
992	692
992	222
992	294
806	430
806	105
806	161
811	776
811	612
811	713
811	182
811	943
811	623
811	371
811	706
811	105
811	127
896	964
896	884
896	387
896	874
896	105
896	132
896	161
239	445
239	845
239	227
239	656
239	509
239	106
872	798
872	341
872	693
872	107
872	273
971	333
971	107
982	825
982	255
982	472
982	107
870	808
870	541
870	382
870	108
120	109
123	729
123	473
123	109
744	480
744	625
744	109
864	777
864	850
864	703
864	165
864	109
290	673
290	314
290	195
290	296
290	345
290	801
290	908
290	291
290	979
290	110
396	318
396	598
396	882
396	713
396	110
735	877
735	818
735	552
735	110
258	389
258	745
258	912
258	295
258	111
582	387
582	417
582	659
582	321
582	179
582	111
582	127
582	219
841	549
841	865
841	297
841	111
841	177
841	280
952	805
952	778
952	965
952	111
952	153
952	444
324	729
324	385
324	302
324	584
324	332
324	634
324	343
324	405
324	113
476	480
476	600
476	638
476	113
476	143
549	431
549	780
549	181
549	113
743	940
743	950
743	113
743	354
274	422
274	319
274	182
274	220
274	114
306	987
306	838
306	114
352	428
352	114
352	222
673	699
673	827
673	590
673	765
673	871
673	114
673	488
263	884
263	252
263	515
263	686
263	518
263	172
263	115
672	164
672	865
672	375
672	455
672	639
672	115
800	539
800	862
800	392
800	734
800	115
821	115
374	138
374	903
374	931
374	768
374	603
374	116
401	531
401	748
401	116
293	304
293	226
293	663
293	117
677	649
677	519
677	165
677	117
725	456
725	302
725	805
725	331
725	899
725	590
725	315
725	117
868	976
868	457
868	929
868	995
868	968
868	117
868	126
916	496
916	550
916	608
916	117
916	488
574	387
574	138
574	428
574	902
574	376
574	118
657	938
657	118
820	551
820	350
820	118
820	127
964	751
964	708
964	368
964	949
964	835
964	118
164	302
164	194
164	587
164	616
164	769
164	805
164	119
164	678
389	516
389	918
389	827
389	119
389	568
516	367
516	484
516	675
516	886
516	119
516	912
516	307
714	119
714	468
826	575
826	779
826	142
826	119
826	717
826	438
826	498
980	960
980	910
980	922
980	764
980	119
980	636
746	941
746	764
746	556
746	690
746	121
746	222
884	845
884	668
884	215
884	121
895	910
895	599
895	350
895	121
170	531
170	340
170	461
170	957
170	993
170	879
170	122
729	456
729	176
729	816
729	520
729	266
387	898
387	124
751	641
751	135
751	415
751	568
751	124
138	285
138	195
138	196
138	304
138	496
138	756
138	930
138	928
138	125
562	563
562	363
562	215
562	125
562	336
641	499
641	146
641	382
641	125
641	169
641	354
431	829
431	195
431	889
431	763
431	706
431	126
431	149
642	930
642	602
642	656
642	697
642	366
642	300
642	126
849	456
849	332
849	529
849	312
849	126
316	224
316	580
316	880
316	835
316	443
316	127
422	364
422	127
531	814
531	302
531	270
531	459
531	127
573	235
573	127
573	198
157	449
157	383
157	128
522	691
522	327
522	550
522	128
522	406
135	285
135	537
135	380
135	129
135	536
135	183
588	960
588	221
588	129
588	346
757	343
757	129
681	631
681	370
